73	Tyler Johnson	MIA	24	40	13	27	31.0	14.2	5.1	11.8	43.1	1.4	3.6	37.9	2.6	3.5	74.5	0.6	3.7	4.3	3.2	1.0	1.2	0.7	2.4	0	0	-2.2
74	Sean Kilpatrick	BKN	27	44	8	36	26.8	14.1	4.7	11.3	41.5	1.6	4.5	34.5	3.2	3.8	83.7	0.3	4.0	4.3	2.5	2.4	0.8	0.1	2.0	3	0	-5.5
75	Bojan Bogdanovic	BKN	27	45	9	36	26.5	14.1	4.8	10.9	44.0	1.9	5.0	37.8	2.6	3.0	87.5	0.4	3.0	3.4	1.6	1.5	0.5	0.1	1.8	0	0	-5.9
76	Rodney Hood	UTA	24	37	25	12	29.3	14.0	5.2	12.5	41.8	2.1	5.7	35.8	1.5	2.0	74.7	0.3	3.4	3.6	2.0	1.2	0.6	0.2	2.3	0	0	4.6
77	Markieff Morris	WAS	27	44	24	20	31.9	13.9	5.3	11.8	44.7	0.8	2.5	33.0	2.6	3.2	81.3	1.4	5.2	6.6	1.9	1.9	1.1	0.6	3.3	5	0	2.3
78	Jeremy Lin	BKN	28	12	3	9	25.0	13.9	5.1	10.8	46.9	1.3	4.0	33.3	2.4	3.4	70.7	0.2	3.1	3.3	5.8	2.7	1.3	0.6	1.0	2	0	-4.3
79	Jordan Clarkson	LAL	24	48	16	32	27.4	13.9	5.5	12.3	45.1	1.3	3.8	34.2	1.5	1.9	78.3	0.7	2.1	2.8	2.1	1.9	1.3	0.1	1.8	0	0	-4.0
80	Ryan Anderson	HOU	28	46	32	14	30.4	13.8	4.6	10.8	42.8	2.7	6.7	40.7	1.9	2.1	89.6	1.6	3.3	5.0	0.9	0.9	0.5	0.2	2.0	1	0	5.6
81	Nikola Vucevic	ORL	26	44	17	27	28.1	13.8	6.2	13.1	47.3	0.3	0.9	27.5	1.1	1.8	63.3	2.2	7.5	9.8	2.8	1.6	0.9	1.0	2.3	19	0	-1.6
82	Marcus Morris	DET	27	45	21	24	32.6	13.7	5.2	12.7	41.2	1.6	4.7	33.5	1.7	2.1	81.9	0.9	3.5	4.4	2.0	1.1	0.8	0.3	2.1	3	0	0.3
83	Zach Randolph	MEM	35	40	23	17	23.8	13.7	5.9	13.2	44.6	0.4	1.3	27.5	1.6	2.2	72.4	2.4	5.9	8.2	1.8	1.2	0.5	0.2	2.0	11	0	1.9
84	Dwight Howard	ATL	31	41	23	18	29.4	13.7	5.3	8.4	63.4	0.0	0.0	0.0	3.1	5.4	56.5	4.4	8.5	12.8	1.3	2.1	0.9	1.3	2.9	29	0	0.2
85	Jae Crowder	BOS	26	37	24	13	32.3	13.7	4.8	9.8	48.8	2.3	5.4	41.8	1.9	2.1	89.9	0.5	4.7	5.2	2.2	1.1	1.0	0.3	2.3	2	0	4.3
86	Nick Young	LAL	31	41	15	26	26.4	13.7	4.7	10.5	44.5	2.9	6.9	41.6	1.4	1.7	85.5	0.5	1.7	2.2	1.0	0.6	0.6	0.3	2.3	0	0	-3.0
87	Deron Williams	DAL	32	37	14	23	30.1	13.5	5.1	11.7	43.3	1.6	4.6	35.1	1.8	2.2	81.7	0.4	2.3	2.7	7.1	2.4	0.5	0.1	2.4	3	0	-1.5
88	Will Barton	DEN	26	32	15	17	28.6	13.4	4.7	10.6	44.7	1.4	3.4	40.9	2.5	3.3	75.7	0.9	3.4	4.3	3.0	1.5	0.8	0.4	1.9	0	0	-2.4
89	TJ Warren	PHX	23	32	11	21	29.1	13.3	5.6	12.2	45.6	0.5	1.8	26.8	1.8	2.3	75.7	1.6	2.0	3.6	1.0	0.9	1.3	0.3	2.7	0	0	-2.7
90	Dirk Nowitzki	DAL	38	20	7	13	24.9	13.3	5.0	12.4	40.1	1.4	4.2	33.7	2.0	2.4	85.1	0.6	5.2	5.8	1.5	0.9	0.5	0.7	2.1	1	0	-3.7
91	Julius Randle	LAL	22	43	15	28	29.4	13.2	5.1	10.3	49.0	0.1	0.5	22.7	2.9	4.0	71.8	1.8	6.6	8.5	3.9	2.6	0.8	0.5	3.5	10	2	-4.2
92	Rudy Gobert	UTA	24	47	29	18	33.4	12.8	4.5	6.8	66.4	0.0	0.0	0.0	3.8	5.9	64.4	3.7	8.8	12.6	0.9	1.9	0.7	2.5	2.9	31	0	4.7
93	Gary Harris	DEN	22	20	9	11	27.0	12.7	4.8	10.0	48.2	1.3	3.3	37.9	1.8	2.5	72.0	0.8	2.2	3.0	2.9	1.0	0.8	0.2	1.7	0	0	1.2
94	Darren Collison	SAC	29	37	15	22	29.4	12.6	4.7	9.9	47.1	1.1	2.7	40.6	2.2	2.6	85.3	0.4	1.6	2.1	4.2	1.5	0.9	0.1	1.7	0	0	-1.1
95	DeAndre Jordan	LAC	28	47	30	17	32.0	12.5	4.9	7.1	69.0	0.0	0.0	0.0	2.7	5.3	51.4	3.7	10.3	14.0	1.1	1.6	0.6	1.8	2.7	21	0	4.9
96	Elfrid Payton	ORL	22	47	18	29	29.3	12.5	5.2	11.2	46.3	0.6	2.2	28.8	1.5	2.3	63.6	0.9	3.0	3.9	6.0	2.1	1.1	0.5	2.1	5	0	-2.4
97	Trevor Ariza	HOU	31	49	34	15	34.6	12.3	4.4	10.3	42.7	2.7	7.2	37.2	0.9	1.3	69.8	0.7	4.7	5.4	2.2	0.9	1.9	0.3	1.7	1	0	5.3
98	J.J. Barea	DAL	32	18	6	12	24.7	12.2	4.5	10.7	42.2	1.4	4.1	35.1	1.7	1.8	93.9	0.3	2.6	2.9	4.9	1.7	0.5	0.1	0.7	0	0	-0.8
99	Steven Adams	OKC	23	44	27	17	30.1	12.2	5.0	8.5	58.9	0.0	0.0	0.0	2.1	3.0	70.5	3.0	4.6	7.5	1.2	1.9	1.2	1.2	2.4	8	0	3.6
