80	Jeremy Lin	BKN	28	12	3	9	25.0	13.9	5.1	10.8	46.9	1.3	4.0	33.3	2.4	3.4	70.7	0.2	3.1	3.3	5.8	2.7	1.3	0.6	1.0	2	0	-4.3
81	Deron Williams	DAL	32	27	9	18	30.2	13.9	5.0	12.0	41.5	1.7	4.8	34.6	2.2	2.4	89.4	0.3	2.0	2.3	6.8	2.4	0.6	0.1	2.5	1	0	-2.3
82	Tyler Johnson	MIA	24	33	10	23	30.9	13.7	5.0	11.6	42.7	1.4	3.5	39.1	2.4	3.2	75.0	0.5	3.8	4.3	3.3	1.1	1.2	0.7	2.3	0	0	-2.3
83	Julius Randle	LAL	22	33	12	21	29.3	13.6	5.3	10.6	50.1	0.1	0.6	20.0	2.8	4.0	69.9	2.1	6.7	8.7	3.8	2.8	0.8	0.5	3.4	10	2	-3.4
84	Will Barton	DEN	25	23	10	13	29.5	13.6	4.9	11.0	44.4	1.3	3.5	38.3	2.5	3.4	72.2	1.0	3.7	4.7	2.7	1.7	0.8	0.4	1.9	0	0	-2.7
85	Enes Kanter	OKC	24	35	21	14	20.6	13.4	5.2	9.4	55.5	0.1	0.7	12.5	2.9	3.7	77.1	2.2	3.8	6.0	0.9	1.5	0.4	0.8	2.1	7	0	0.2
86	Jae Crowder	BOS	26	27	18	9	31.6	13.3	4.6	9.4	48.8	2.3	5.3	43.0	1.9	2.1	87.9	0.5	4.5	5.0	2.3	1.1	1.1	0.3	2.5	1	0	4.9
87	Zach Randolph	MEM	35	30	18	12	22.8	13.3	5.7	12.9	44.2	0.3	1.2	21.6	1.6	2.1	76.2	2.2	5.5	7.7	1.7	1.1	0.5	0.2	2.0	6	0	0.9
88	Nikola Vucevic	ORL	26	33	15	18	27.9	13.2	5.9	12.9	46.1	0.2	0.8	29.6	1.1	1.8	59.0	2.4	8.0	10.4	2.7	1.4	0.8	0.9	2.3	17	0	-0.7
89	Gary Harris	DEN	22	15	6	9	27.6	13.1	4.9	10.2	48.4	1.3	3.4	39.2	1.9	2.7	70.7	0.9	2.1	3.0	2.7	1.0	0.9	0.2	1.9	0	0	-0.1
90	Marcus Morris	DET	27	36	16	20	31.6	13.1	5.1	12.1	42.0	1.6	4.6	33.9	1.4	1.8	79.4	0.7	3.1	3.8	1.9	1.1	0.8	0.3	2.0	0	0	0.0
91	Nikola Jokic	DEN	21	32	13	19	24.5	12.9	5.2	8.9	57.9	0.4	1.2	33.3	2.2	2.7	80.2	2.5	5.3	7.8	3.7	1.6	0.7	0.6	3.2	10	0	1.5
92	Markieff Morris	WAS	27	33	15	18	31.1	12.8	4.8	11.2	42.9	0.6	2.1	29.0	2.6	3.3	79.6	1.3	4.6	5.8	1.6	1.8	1.1	0.6	3.2	1	0	1.2
93	Emmanuel Mudiay	DEN	20	34	14	20	29.1	12.7	4.4	11.7	37.7	1.2	3.8	31.8	2.6	3.4	78.3	0.6	3.3	3.9	3.9	2.6	0.8	0.2	2.0	0	0	-3.8
94	Brandon Knight	PHX	25	35	10	25	22.6	12.5	4.3	10.8	39.6	1.0	2.8	35.7	2.9	3.5	84.4	0.5	2.1	2.6	2.7	1.9	0.6	0.1	1.7	0	0	-7.9
95	Rudy Gobert	UTA	24	36	22	14	33.1	12.4	4.3	6.4	68.1	0.0	0.0	0.0	3.8	5.8	65.1	3.3	8.9	12.1	0.9	1.7	0.6	2.6	3.1	24	0	5.7
96	Darren Collison	SAC	29	26	12	14	29.6	12.4	4.5	10.0	45.2	1.0	2.7	36.2	2.4	2.8	83.8	0.5	1.5	2.0	4.4	1.7	0.9	0.0	1.5	0	0	-1.1
97	Trevor Ariza	HOU	31	36	27	9	33.8	12.4	4.4	10.2	43.5	2.7	7.2	37.6	0.8	1.2	68.2	0.6	4.6	5.2	2.2	0.9	2.2	0.3	1.7	1	0	6.1
98	Wayne Ellington	MIA	29	16	4	12	29.6	12.4	4.7	10.9	43.1	2.3	7.1	32.7	0.7	0.8	84.6	0.1	1.8	1.9	1.8	0.4	0.7	0.1	1.4	0	0	-2.7
99	Jamal Crawford	LAC	36	37	23	14	26.3	12.3	4.5	11.0	41.0	1.2	3.8	32.6	2.0	2.2	89.2	0.2	1.5	1.6	2.6	1.6	0.6	0.2	1.4	0	0	0.5
100	Pau Gasol	SAS	36	33	26	7	26.5	12.2	4.9	9.9	50.0	0.5	1.2	46.2	1.7	2.6	67.1	1.5	6.3	7.9	2.6	1.3	0.5	1.2	1.6	6	0	2.6
101	Maurice Harkless	POR	23	35	15	20	31.0	12.0	4.9	9.9	49.6	1.2	3.5	35.0	1.0	1.5	69.2	1.7	3.3	5.1	0.8	1.3	1.3	0.8	3.1	2	0	-1.1
102	Steven Adams	OKC	23	35	21	14	29.5	12.0	4.8	8.1	59.3	0.0	0.0	0.0	2.3	3.3	70.7	3.1	4.6	7.7	1.0	1.9	1.3	0.9	2.4	6	0	3.7
103	Taj Gibson	CHI	31	35	17	18	27.8	11.9	5.2	10.0	52.1	0.0	0.0	0.0	1.4	2.0	71.0	2.3	4.6	6.9	1.2	1.4	0.5	1.1	2.3	9	0	0.6
104	Thaddeus Young	IND	28	36	18	18	31.4	11.8	5.1	9.6	52.7	1.0	2.4	42.0	0.6	1.2	52.3	1.6	4.7	6.2	1.6	1.7	1.4	0.4	1.7	4	0	0.1
